VariableName,Title,Unit_of_Measure,Description,DataType,PermittedValues,MinimumValue,MaximumValue,Comments
wk6_post_inj_retrieval,"Single pellet reaching, grasping and retrieval; SPRGR: Pellets Eaten",,The number of pellets that are eaten by the animal. Calculated as the sum of Scoops and Successes.,Numeric,0-100,0,100,
CST_Damage,Percent damage of Corticospinal tract at lesion epicenter,,Using ImageJ CST damage was quantified based on the reported projection sites on a cross section at lesion epicenter,Numeric,0-100,0,100,DOI: https://doi.org/10.1016/j.bbr.2021.113731
RST_Damage,Percent damage of Rubrospinal tract at lesion epicenter,,Using ImageJ RST damage was quantified based on the reported projection sites on a cross section at lesion epicenter,Numeric,0-100,0,100,
Percent_Spared_ContraL,Percent of tissue sparing on contralesional side at the injury epicenters,,Percent of tissue sparing on contralesional side at the injury epicenters,Numeric,0-100,0,100,
Percent_Spared_IpsiL,Percent of tissue sparing  on ipsilesional side at the injury epicenters,,Percent of tissue sparing  on ipsilesional side at the injury epicenters,Numeric,0-100,0,100,
Lesion_Volume,The volume of grey and white matter sparing ,,The volume of grey and white matter sparing 2.4 mm rostral to 2.4 mm caudal of injury epicenter,Numeric,20-130,20,130,
Damage_Extension,The extent of spinal tissue damage ,,The rostro-caudal extent of spinal tissue damage,Numeric,05-Jan,1,5,
DQ_Grey_Matter,Percentage of sparing of Dorsal Quadrant grey matter spinal tissue,,Percentage of sparing of Dorsal Quadrant grey matter spinal tissue,Numeric,0-100,0,100,
DQ_White_Matter,Percentage of sparing of Dorsal Quadrant white matter spinal tissue,,Percentage of sparing of Dorsal Quadrant white matter spinal tissue,Numeric,0-100,0,100,
VQ_Grey_Matter,Percentage of sparing of Ventral Quadrant grey matter spinal tissue,,Percentage of sparing of Ventral Quadrant grey matter spinal tissue,Numeric,0-100,0,100,
VQ_White_Matter,Percentage of sparing o fVentral Quadrant white matter spinal tissue,,Percentage of sparing o fVentral Quadrant white matter spinal tissue,Numeric,0-100,0,100,
dGrey_Matter_r2400,Dorsal grey matter sparing at 2.4mm rostral from the lesion epicenter,,Dorsal grey matter sparing at 2.4mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_r2400,Dorsal white matter sparing at 2.4mm rostral from the lesion epicenter,,Dorsal white matter sparing at 2.4mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_r2400,Ventral grey matter sparing at 2.4mm rostral from the lesion epicenter,,Ventral grey matter sparing at 2.4mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_r2400,Ventral white matter sparing at 2.4mm rostral from the lesion epicenter,,Ventral white matter sparing at 2.4mm rostral from the lesion epicenter basedon contralateral side,Numeric,0-100,0,100,
dGrey_Matter_r2000,Dorsal grey matter sparing at 2.0mm rostral from the lesion epicenter,,Dorsal grey matter sparing at 2.0mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_r2000,Dorsal white matter sparing at 2.0mm rostral from the lesion epicenter,,Dorsal white matter sparing at 2.0mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_r2000,Ventral grey matter sparing at 2.0mm rostral from the lesion epicenter,,Ventral grey matter sparing at 2.0mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_r2000,Ventral white matter sparing at 2.0mm rostral from the lesion epicenter,,Ventral white matter sparing at 2.0mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_r1600,Dorsal grey matter sparing at 1.6mm rostral from the lesion epicenter,,Dorsal grey matter sparing at 1.6mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_r1600,Dorsal white matter sparing at 1.6mm rostral from the lesion epicenter,,Dorsal white matter sparing at 1.6mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_r1600,Ventral grey matter sparing at 1.6mm rostral from the lesion epicenter,,Ventral grey matter sparing at 1.6mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_r1600,Ventral white matter sparing at 1.6mm rostral from the lesion epicenter,,Ventral white matter sparing at 1.6mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_r1200,Dorsal grey matter sparing at 1.2mm rostral from the lesion epicenter,,Dorsal grey matter sparing at 1.2mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_r1200,Dorsal white matter sparing at 1.2mm rostral from the lesion epicenter,,Dorsal white matter sparing at 1.2mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_r1200,Ventral grey matter sparing at 1.2mm rostral from the lesion epicenter,,Ventral grey matter sparing at 1.2mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_r1200,Ventral white matter sparing at 1.2mm rostral from the lesion epicenter,,Ventral white matter sparing at 1.2mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_r800,Dorsal grey matter sparing at 0.8mm rostral from the lesion epicenter,,Dorsal grey matter sparing at 0.8mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_r800,Dorsal white matter sparing at 0.8mm rostral from the lesion epicenter,,Dorsal white matter sparing at 0.8mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_r800,Ventral grey matter sparing at 0.8mm rostral from the lesion epicenter,,Ventral grey matter sparing at 0.8mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_r800,Ventral white matter sparing at 0.8mm rostral from the lesion epicenter,,Ventral white matter sparing at 0.8mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_r400,Dorsal grey matter sparing at 0.4mm rostral from the lesion epicenter,,Dorsal grey matter sparing at 0.4mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_r400,Dorsal white matter sparing at 0.4mm rostral from the lesion epicenter,,Dorsal white matter sparing at 0.4mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_r400,Ventral grey matter sparing at 0.4mm rostral from the lesion epicenter,,Ventral grey matter sparing at 0.4mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_r400,Ventral white matter sparing at 0.4mm rostral from the lesion epicenter,,Ventral white matter sparing at 0.4mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_r200,Dorsal grey matter sparing at 0.2mm rostral from the lesion epicenter,,Dorsal grey matter sparing at 0.4mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_r200,Dorsal white matter sparing at 0.2mm rostral from the lesion epicenter,,Dorsal white matter sparing at 0.4mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_r200,Ventral grey matter sparing at 0.2mm rostral from the lesion epicenter,,Ventral grey matter sparing at 0.4mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_r200,Ventral white matter sparing at 0.2mm rostral from the lesion epicenter,,Ventral white matter sparing at 0.4mm rostral from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_epicenter,Dorsal grey matter sparing at the lesion epicenter,,Dorsal grey matter sparing at the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_epicenter,Dorsal white matter sparing at the lesion epicenter,,Dorsal white matter sparing at the lesion epicenter based on a rostral intact section,Numeric,0-100,0,100,
vGrey_Matter_epicenter,Ventral grey matter sparing at the lesion epicenter,,Ventral grey matter sparing at the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_epicenter,Ventral white matter sparing at  the lesion epicenter,,Ventral white matter sparing at  the lesion epicenter based on a rostral intact section,Numeric,0-100,0,100,
dGrey_Matter_c2400,Dorsal grey matter sparing at 2.4mm caudal from the lesion epicenter,,Dorsal grey matter sparing at 2.4mm caudal from the lesion epicenter based on a caudal intact section,Numeric,0-100,0,100,
dWhite_Matter_c2400,Dorsal white matter sparing at 2.4mm caudal from the lesion epicenter,,Dorsal white matter sparing at 2.4mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_c2400,Ventral grey matter sparing at 2.4mm caudal from the lesion epicenter,,Ventral grey matter sparing at 2.4mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_c2400,Ventral white matter sparing at 2.4mm caudal from the lesion epicenter,,Ventral white matter sparing at 2.4mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_c2000,Dorsal grey matter sparing at 2.0mm caudal from the lesion epicenter,,Dorsal grey matter sparing at 2.0mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_c2000,Dorsal white matter sparing at 2.0mm caudal from the lesion epicenter,,Dorsal white matter sparing at 2.0mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_c2000,Ventral grey matter sparing at 2.0mm caudal from the lesion epicenter,,Ventral grey matter sparing at 2.0mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_c2000,Ventral white matter sparing at 2.0mm caudal from the lesion epicenter,,Ventral white matter sparing at 2.0mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_c1600,Dorsal grey matter sparing at 1.6mm caudal from the lesion epicenter,,Dorsal grey matter sparing at 1.6mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_c1600,Dorsal white matter sparing at 1.6mm caudal from the lesion epicenter,,Dorsal white matter sparing at 1.6mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_c1600,Ventral grey matter sparing at 1.6mm caudal from the lesion epicenter,,Ventral grey matter sparing at 1.6mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_c1600,Ventral white matter sparing at 1.6mm caudal from the lesion epicenter,,Ventral white matter sparing at 1.6mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_c1200,Dorsal grey matter sparing at 1.2mm caudal from the lesion epicenter,,Dorsal grey matter sparing at 1.2mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_c1200,Dorsal white matter sparing at 1.2mm caudal from the lesion epicenter,,Dorsal white matter sparing at 1.2mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_c1200,Ventral grey matter sparing at 1.2mm caudal from the lesion epicenter,,Ventral grey matter sparing at 1.2mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_c1200,Ventral white matter sparing at 1.2mm caudal from the lesion epicenter,,Ventral white matter sparing at 1.2mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_c800,Dorsal grey matter sparing at 0.8mm caudal from the lesion epicenter,,Dorsal grey matter sparing at 0.8mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_c800,Dorsal white matter sparing at 0.8mm caudal from the lesion epicenter,,Dorsal white matter sparing at 0.8mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_c800,Ventral grey matter sparing at 0.8mm caudal from the lesion epicenter,,Ventral grey matter sparing at 0.8mm caudal from the lesion epicenter based on contralateral side ,Numeric,0-100,0,100,
vWhite_Matter_c800,Ventral white matter sparing at 0.8mm caudal from the lesion epicenter,,Ventral white matter sparing at 0.8mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_c400,Dorsal grey matter sparing at 0.4mm caudal from the lesion epicenter,,Dorsal grey matter sparing at 0.4mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_c400,Dorsal white matter sparing at 0.4mm caudal from the lesion epicenter,,Dorsal white matter sparing at 0.4mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_c400,Ventral grey matter sparing at 0.4mm caudal from the lesion epicenter,,Ventral grey matter sparing at 0.4mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_c400,Ventral white matter sparing at 0.4mm caudal from the lesion epicenter,,Ventral white matter sparing at 0.4mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dGrey_Matter_c200,Dorsal grey matter sparing at 0.2mm caudal from the lesion epicenter,,Dorsal grey matter sparing at 0.2mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
dWhite_Matter_c200,Dorsal white matter sparing at 0.2mm caudal from the lesion epicenter,,Dorsal white matter sparing at 0.2mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vGrey_Matter_c200,Ventral grey matter sparing at 0.2mm caudal from the lesion epicenter,,Ventral grey matter sparing at 0.2mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
vWhite_Matter_c200,Ventral white matter sparing at 0.2mm caudal from the lesion epicenter,,Ventral white matter sparing at 0.2mm caudal from the lesion epicenter based on contralateral side,Numeric,0-100,0,100,
